Country	Birth rate	Life expectancy
Vietnam	1.822	74.828243902
Vanuatu	3.869	70.819487805
Tonga	3.911	72.150658537
Timor-Leste	5.578	61.999853659
Thailand	1.579	73.927658537
Solomon Islands	4.229	67.465195122
Singapore	1.15	81.641463415
Samoa	3.86	72.306390244
Philippines	3.142	68.484317073
Papua New Guinea	3.951	62.440609756
New Zealand	2.16	80.702439024
New Caledonia	2.141	76.301682927
Myanmar	2.002	64.662097561
Mongolia	2.504	68.194975610
Micronesia	3.451	68.764829268
Malaysia	2.635	74.024560976
Macao SAR, China	1.092	80.775317073
Lao PDR	2.747	67.064
Korea	1.22	80.761951220
Japan	1.39	82.932682927
Indonesia	2.117	68.889658537
Hong Kong SAR, China	1.108	82.878048780
Guam	2.47	75.994268293
French Polynesia	2.09	75.076878049
Fiji	2.668	69.225829268
Dem. Rep. Korea	2.022	68.532146341
China	1.598	73.273097561


