EmpID,BusinessTravel,Department,HourlyRate,JobLevel,JobRole,JobSatisfaction,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2102210,Travel_Rarely,Sales,94,2,Sales Executive,4,19479,8,Yes,11,8,1,6,4,0,5,Yes
2102211,Travel_Frequently,Research & Development,61,2,Research Scientist,2,24907,1,No,23,10,3,10,7,1,7,No
2102212,Travel_Rarely,Research & Development,92,1,Laboratory Technician,3,2396,6,Yes,15,7,3,0,0,0,0,Yes
2102213,Travel_Frequently,Research & Development,56,1,Research Scientist,3,23159,1,Yes,11,8,3,8,7,3,0,No
2102214,Travel_Rarely,Research & Development,40,1,Laboratory Technician,2,16632,9,No,12,6,3,2,2,2,2,No
2102215,Travel_Frequently,Research & Development,79,1,Laboratory Technician,4,11864,0,No,13,8,2,7,7,3,6,No
2102216,Travel_Rarely,Research & Development,81,1,Laboratory Technician,1,9964,4,Yes,20,12,2,1,0,0,0,No
2102217,Travel_Rarely,Research & Development,67,1,Laboratory Technician,3,13335,1,No,22,1,3,1,0,0,0,No
2102218,Travel_Frequently,Research & Development,44,3,Manufacturing Director,3,8787,0,No,21,10,3,9,7,1,8,No
2102219,Travel_Rarely,Research & Development,94,2,Healthcare Representative,3,16577,6,No,13,17,2,7,7,7,7,No
2102220,Travel_Rarely,Research & Development,84,1,Laboratory Technician,2,16479,0,No,13,6,3,5,4,0,3,No
2102221,Travel_Rarely,Research & Development,49,2,Laboratory Technician,3,12682,0,Yes,12,10,,9,5,0,8,No
2102222,Travel_Rarely,Research & Development,31,1,Research Scientist,3,15170,1,No,17,5,,5,2,4,3,No
2102223,Travel_Rarely,Research & Development,93,1,Laboratory Technician,4,8758,0,No,11,3,,2,2,1,2,No
2102224,Travel_Rarely,Research & Development,50,1,Laboratory Technician,3,12947,5,Yes,14,6,,4,2,0,3,Yes
2102225,Travel_Rarely,Research & Development,51,3,Manufacturing Director,1,10195,1,No,11,10,3,10,9,8,8,No
2102226,Travel_Rarely,Research & Development,80,1,Research Scientist,2,15053,0,Yes,12,7,2,6,2,0,5,No
2102227,Non-Travel,Research & Development,96,1,Laboratory Technician,4,7324,1,Yes,13,1,2,1,0,0,0,No
2102228,Travel_Rarely,Sales,78,4,Manager,4,22021,2,No,16,31,3,25,8,3,7,No
2102229,Travel_Rarely,Research & Development,45,1,Research Scientist,4,4306,5,Yes,11,6,3,3,2,1,2,No
2102230,Non-Travel,Research & Development,96,2,Manufacturing Director,3,8232,0,No,18,5,2,4,2,1,3,No
2102231,Travel_Rarely,Sales,82,1,Sales Representative,1,6986,7,No,23,10,3,5,3,0,3,Yes
2102232,Travel_Rarely,Research & Development,53,3,Research Director,2,21293,0,No,11,13,3,12,6,2,11,No
2102233,Travel_Rarely,Research & Development,96,1,Research Scientist,4,19281,1,No,14,0,3,0,0,0,0,No
2102234,Travel_Rarely,Research & Development,83,1,Research Scientist,1,17102,2,No,11,8,3,4,2,1,3,Yes
2102235,Travel_Rarely,Research & Development,58,5,Manager,3,10735,4,No,11,26,2,14,13,4,8,No
2102236,Travel_Frequently,Research & Development,72,1,Research Scientist,1,4681,1,Yes,22,10,3,10,2,6,7,Yes
2102237,Travel_Rarely,Sales,48,2,Sales Executive,2,21173,0,No,11,10,3,9,7,4,2,No
2102238,Travel_Rarely,Research & Development,42,3,Healthcare Representative,4,2094,3,No,14,24,3,22,6,5,17,No
2102239,Travel_Rarely,Sales,83,5,Manager,1,22822,3,No,12,22,2,2,2,2,1,No
2102240,Travel_Rarely,Research & Development,78,1,Laboratory Technician,4,6670,4,No,11,7,3,1,1,0,0,No
2102241,Travel_Rarely,Research & Development,41,2,Healthcare Representative,4,19121,2,Yes,13,9,4,4,2,1,3,No
2102242,Travel_Rarely,Research & Development,83,1,Laboratory Technician,3,16117,1,No,13,10,3,10,0,1,8,No
2102243,Travel_Rarely,Sales,56,2,Sales Representative,4,3335,3,No,14,19,4,1,0,0,0,Yes
2102244,Travel_Rarely,Research & Development,61,1,Research Scientist,4,3020,2,Yes,16,6,2,2,0,2,0,Yes
2102245,Travel_Rarely,Research & Development,72,1,Research Scientist,3,21923,1,No,12,6,2,5,3,1,4,No
2102246,Travel_Rarely,Sales,86,1,Sales Representative,3,3810,1,Yes,14,3,3,3,2,0,2,Yes
2102247,Travel_Rarely,Sales,97,1,Sales Representative,4,9687,1,No,13,2,3,2,2,2,2,No
2102248,Travel_Rarely,Research & Development,82,1,Research Scientist,1,13072,9,Yes,14,6,4,1,1,0,0,No
2102249,Travel_Frequently,Sales,42,2,Sales Executive,1,3193,2,No,19,10,3,5,3,1,3,No
2102250,Travel_Rarely,Research & Development,75,1,Laboratory Technician,4,10910,1,No,12,1,3,1,0,0,0,No
