State/UT,Private,Public
Andaman and Nicobar Islands,1,21
Andhra Pradesh,97863,34385
Arunachal Pradesh,5,630
Assam,14350,33553
Bihar,11747,34814
Chandigarh,302,509
Chhattisgarh,411814,142123
Dadra and Nagar Haveli,782,10940
Daman and Diu,984,3343
Goa,1033,382
Gujarat,379379,94845
Haryana,16341,10223
Himachal Pradesh,2160,16461
Jammu and Kashmir,9707,8720
Jharkhand,156760,24114
Karnataka,65502,128640
Kerala,131557,391079
Lakshadweep,NA,NA
Madhya Pradesh,29314,63818
Maharashtra,107977,31179
Manipur,725,2412
Meghalaya,4836,9016
Mizoram,441,12588
Nagaland,325,532
Puducherry,NA,NA
Sikkim,21,91
Tamil Nadu,120473,116701
Tripura,90,16702
Uttar Pradesh,89987,26800
Uttarakhand,30472,18108
West Bengal,12169,5467
Grand Total,1697117,1238196
